feature	importance
KLJ38	0.0
KLA38	0.0
KLJ37	0.0
KLF37	0.0
KLG33	0.0
KLF33	0.0
KLAMPO90	0.0
KLAMPO131	0.0
KLAMPO92	0.0
KSWO102	0.0
KSWO116	0.0
KSWO115	0.0
KSWO114	0.0
KSWO113	0.0
KSWO112	0.0
KSWO111	0.0
KSWO110	0.0
KSWO109	0.0
KSWO108	0.0
KSWO107	0.0
KSWO106	0.0
KSWO105	0.0
KSWO104	0.0
KSWO103	0.0
KSWO101	0.0
KSWO85	0.0
KSWO100	0.0
KSWO99	0.0
KSWO98	0.0
KSWO97	0.0
KSWO96	0.0
KSWO95	0.0
KSWO94	0.0
KSWO93	0.0
KSWO92	0.0
KSWO91	0.0
KSWO90	0.0
KSWO89	0.0
KSWO88	0.0
KSWO87	0.0
KSWO117	0.0
KSWO118	0.0
KSWO119	0.0
KSWO120	0.0
KSWO149	0.0
KSWO148	0.0
KSWO147	0.0
KSWO146	0.0
KSWO145	0.0
KSWO144	0.0
KSWO143	0.0
KSWO142	0.0
KSWO141	0.0
KSWO140	0.0
KSWO139	0.0
KSWO138	0.0
KSWO137	0.0
KSWO136	0.0
KSWO135	0.0
KSWO134	0.0
KSWO133	0.0
KSWO132	0.0
KSWO131	0.0
KSWO130	0.0
KSWO129	0.0
KSWO128	0.0
KSWO127	0.0
KSWO126	0.0
KSWO125	0.0
KSWO124	0.0
KSWO123	0.0
KSWO122	0.0
KSWO121	0.0
KSWO86	0.0
KSWO84	0.0
KLAMPO93	0.0
KSWO35	0.0
KSWO49	0.0
KSWO48	0.0
KSWO47	0.0
KSWO46	0.0
KSWO45	0.0
KSWO44	0.0
KSWO43	0.0
KSWO42	0.0
KSWO41	0.0
KSWO40	0.0
KSWO39	0.0
KSWO38	0.0
KSWO37	0.0
KSWO36	0.0
KSWO34	0.0
KSWO83	0.0
KSWO33	0.0
KSWO32	0.0
KSWO31	0.0
KSWO30	0.0
KSWO29	0.0
KSWO28	0.0
KSWO27	0.0
KSWO26	0.0
KSWO25	0.0
KSWO24	0.0
KSWO23	0.0
KSWO22	0.0
KSWO21	0.0
KSWO20	0.0
KSWO50	0.0
KSWO51	0.0
KSWO52	0.0
KSWO53	0.0
KSWO82	0.0
KSWO81	0.0
KSWO80	0.0
KSWO79	0.0
KSWO78	0.0
KSWO77	0.0
KSWO76	0.0
KSWO75	0.0
KSWO74	0.0
KSWO73	0.0
KSWO72	0.0
KSWO71	0.0
KSWO70	0.0
KSWO69	0.0
KSWO68	0.0
KSWO67	0.0
KSWO66	0.0
KSWO65	0.0
KSWO64	0.0
KSWO63	0.0
KSWO62	0.0
KSWO61	0.0
KSWO60	0.0
KSWO59	0.0
KSWO58	0.0
KSWO57	0.0
KSWO56	0.0
KSWO55	0.0
KSWO54	0.0
KSWO150	0.0
KSWO151	0.0
KSWO152	0.0
KSWO235	0.0
KSWO249	0.0
KSWO248	0.0
KSWO247	0.0
KSWO246	0.0
KSWO245	0.0
KSWO244	0.0
KSWO243	0.0
KSWO242	0.0
KSWO241	0.0
KSWO240	0.0
KSWO239	0.0
KSWO238	0.0
KSWO237	0.0
KSWO236	0.0
KSWO234	0.0
KSWO153	0.0
KSWO233	0.0
KSWO232	0.0
KSWO231	0.0
KSWO230	0.0
KSWO229	0.0
KSWO228	0.0
KSWO227	0.0
KSWO226	0.0
KSWO225	0.0
KSWO224	0.0
KSWO223	0.0
KSWO222	0.0
KSWO221	0.0
KSWO220	0.0
KSWO250	0.0
KSWO251	0.0
KSWO252	0.0
KSWO253	0.0
KSWO320	0.0
KSWO319	0.0
KSWO280	0.0
KSWO279	0.0
KSWO278	0.0
KSWO277	0.0
KSWO276	0.0
KSWO275	0.0
KSWO274	0.0
KSWO273	0.0
KSWO272	0.0
KSWO271	0.0
KSWO270	0.0
KSWO269	0.0
KSWO268	0.0
KSWO267	0.0
KSWO266	0.0
KSWO265	0.0
KSWO264	0.0
KSWO263	0.0
KSWO262	0.0
KSWO261	0.0
KSWO260	0.0
KSWO259	0.0
KSWO258	0.0
KSWO257	0.0
KSWO256	0.0
KSWO255	0.0
KSWO254	0.0
KSWO219	0.0
KSWO218	0.0
KSWO217	0.0
KSWO184	0.0
KSWO182	0.0
KSWO181	0.0
KSWO180	0.0
KSWO179	0.0
KSWO178	0.0
KSWO177	0.0
KSWO176	0.0
KSWO175	0.0
KSWO174	0.0
KSWO173	0.0
KSWO172	0.0
KSWO171	0.0
KSWO170	0.0
KSWO169	0.0
KSWO168	0.0
KSWO167	0.0
KSWO166	0.0
KSWO165	0.0
KSWO164	0.0
KSWO163	0.0
KSWO162	0.0
KSWO161	0.0
KSWO160	0.0
KSWO159	0.0
KSWO158	0.0
KSWO157	0.0
KSWO156	0.0
KSWO155	0.0
KSWO154	0.0
KSWO183	0.0
KSWO185	0.0
KSWO216	0.0
KSWO186	0.0
KSWO215	0.0
KSWO214	0.0
KSWO213	0.0
KSWO212	0.0
KSWO211	0.0
KSWO210	0.0
KSWO209	0.0
KSWO208	0.0
KSWO207	0.0
KSWO206	0.0
KSWO205	0.0
KSWO204	0.0
KSWO203	0.0
KSWO202	0.0
KSWO201	0.0
KSWO200	0.0
KSWO199	0.0
KSWO198	0.0
KSWO197	0.0
KSWO196	0.0
KSWO195	0.0
KSWO194	0.0
KSWO193	0.0
KSWO192	0.0
KSWO191	0.0
KSWO190	0.0
KSWO189	0.0
KSWO188	0.0
KSWO187	0.0
KSWO19	0.0
KSWO18	0.0
KSWO17	0.0
KLAMPO176	0.0
KLAMPO190	0.0
KLAMPO189	0.0
KLAMPO188	0.0
KLAMPO187	0.0
KLAMPO186	0.0
KLAMPO185	0.0
KLAMPO184	0.0
KLAMPO183	0.0
KLAMPO182	0.0
KLAMPO181	0.0
KLAMPO180	0.0
KLAMPO179	0.0
KLAMPO178	0.0
KLAMPO177	0.0
KLAMPO175	0.0
KLAMPO225	0.0
KLAMPO174	0.0
KLAMPO173	0.0
KLAMPO172	0.0
KLAMPO171	0.0
KLAMPO170	0.0
KLAMPO169	0.0
KLAMPO168	0.0
KLAMPO167	0.0
KLAMPO166	0.0
KLAMPO165	0.0
KLAMPO164	0.0
KLAMPO163	0.0
KLAMPO162	0.0
KLAMPO161	0.0
KLAMPO191	0.0
KLAMPO192	0.0
KLAMPO193	0.0
KLAMPO194	0.0
KLAMPO223	0.0
KLAMPO222	0.0
KLAMPO221	0.0
KLAMPO220	0.0
KLAMPO219	0.0
KLAMPO218	0.0
KLAMPO217	0.0
KLAMPO216	0.0
KLAMPO215	0.0
KLAMPO214	0.0
KLAMPO213	0.0
KLAMPO212	0.0
KLAMPO211	0.0
KLAMPO210	0.0
KLAMPO209	0.0
KLAMPO208	0.0
KLAMPO207	0.0
KLAMPO206	0.0
KLAMPO205	0.0
KLAMPO204	0.0
KLAMPO203	0.0
KLAMPO202	0.0
KLAMPO201	0.0
KLAMPO200	0.0
KLAMPO199	0.0
KLAMPO198	0.0
KLAMPO197	0.0
KLAMPO196	0.0
KLAMPO195	0.0
KLAMPO160	0.0
KLAMPO159	0.0
KLAMPO158	0.0
KLAMPO124	0.0
KLAMPO122	0.0
KLAMPO121	0.0
KLAMPO120	0.0
KLAMPO119	0.0
KLAMPO118	0.0
KLAMPO117	0.0
KLAMPO116	0.0
KLAMPO115	0.0
KLAMPO114	0.0
KLAMPO113	0.0
KLAMPO112	0.0
KLAMPO111	0.0
KLAMPO110	0.0
KLAMPO109	0.0
KLAMPO108	0.0
KLAMPO107	0.0
KLAMPO106	0.0
KLAMPO105	0.0
KLAMPO104	0.0
KLAMPO103	0.0
KLAMPO102	0.0
KLAMPO101	0.0
KLAMPO100	0.0
KLAMPO99	0.0
KLAMPO98	0.0
KLAMPO97	0.0
KLAMPO96	0.0
KLAMPO95	0.0
KLAMPO94	0.0
KLAMPO123	0.0
KLAMPO125	0.0
KLAMPO157	0.0
KLAMPO126	0.0
KLAMPO156	0.0
KLAMPO155	0.0
KLAMPO154	0.0
KLAMPO153	0.0
KLAMPO152	0.0
KLAMPO151	0.0
KLAMPO150	0.0
KLAMPO149	0.0
KLAMPO148	0.0
KLAMPO147	0.0
KLAMPO146	0.0
KLAMPO145	0.0
KLAMPO144	0.0
KLAMPO143	0.0
KLAMPO142	0.0
KLAMPO141	0.0
KLAMPO140	0.0
KLAMPO139	0.0
KLAMPO138	0.0
KLAMPO137	0.0
KLAMPO136	0.0
KLAMPO135	0.0
KLAMPO134	0.0
KLAMPO133	0.0
KLAMPO132	0.0
KLAMPO130	0.0
KLAMPO129	0.0
KLAMPO128	0.0
KLAMPO127	0.0
KLAMPO224	0.0
KLAMPO226	0.0
KSWO16	0.0
KLAMPO310	0.0
KLAMPO326	0.0
KLAMPO325	0.0
KLAMPO324	0.0
KLAMPO323	0.0
KLAMPO322	0.0
KLAMPO321	0.0
KLAMPO319	0.0
KLAMPO318	0.0
KLAMPO317	0.0
KLAMPO316	0.0
KLAMPO315	0.0
KLAMPO314	0.0
KLAMPO313	0.0
KLAMPO311	0.0
KLAMPO309	0.0
KLAMPO227	0.0
KLAMPO307	0.0
KLAMPO306	0.0
KLAMPO305	0.0
KLAMPO304	0.0
KLAMPO303	0.0
KLAMPO302	0.0
KLAMPO301	0.0
KLAMPO300	0.0
KLAMPO299	0.0
KLAMPO298	0.0
KLAMPO297	0.0
KLAMPO296	0.0
KLAMPO295	0.0
KLAMPO294	0.0
KLAMPO328	0.0
KLAMPO329	0.0
KLAMPO330	0.0
KLAMPO331	0.0
KSWO15	0.0
KSWO14	0.0
KSWO13	0.0
KSWO12	0.0
KSWO11	0.0
KSWO10	0.0
KSWO9	0.0
KSWO8	0.0
KSWO7	0.0
KSWO6	0.0
KSWO5	0.0
KSWO4	0.0
KSWO3	0.0
KSWO2	0.0
KSWO1	0.0
KLAMPO345	0.0
KLAMPO344	0.0
KLAMPO343	0.0
KLAMPO342	0.0
KLAMPO341	0.0
KLAMPO340	0.0
KLAMPO339	0.0
KLAMPO338	0.0
KLAMPO337	0.0
KLAMPO336	0.0
KLAMPO335	0.0
KLAMPO334	0.0
KLAMPO333	0.0
KLAMPO332	0.0
KLAMPO293	0.0
KLAMPO292	0.0
KLAMPO291	0.0
KLAMPO258	0.0
